Step,Exact_Ref,Avg_Est,Std_Dev,Lower_Bound,Upper_Bound
65000,65000,64944.8,915.772,64029,65860.5
65500,65500,65461.1,782.136,64679,66243.2
66000,66000,65872.8,804.987,65067.8,66677.7
66500,66500,66363.3,838.379,65524.9,67201.7
67000,67000,66903.1,871.339,66031.7,67774.4
67500,67500,67471.7,906.987,66564.7,68378.7
68000,68000,67916.3,834.748,67081.6,68751.1
68500,68500,68430,835.601,67594.4,69265.6
69000,69000,68890.5,908.669,67981.8,69799.2
69500,69500,69351.3,869.792,68481.5,70221.1
70000,70000,69901.9,831.749,69070.1,70733.6
70500,70500,70373.7,846.148,69527.5,71219.8
71000,71000,70955.1,837.054,70118.1,71792.2
71500,71500,71431.1,835.57,70595.5,72266.7
72000,72000,71918.7,836.259,71082.4,72754.9
72500,72500,72394.2,859.254,71534.9,73253.4
73000,73000,72919,760.342,72158.6,73679.3
73500,73500,73379.3,825.764,72553.6,74205.1
74000,74000,73924.4,838.188,73086.2,74762.6
74500,74500,74422.4,841.788,73580.6,75264.2
75000,75000,74911.8,809.247,74102.6,75721.1
75500,75500,75428.3,792.057,74636.2,76220.4
76000,76000,75895.2,742.986,75152.2,76638.2
76500,76500,76410.9,782.036,75628.8,77192.9
77000,77000,76897.6,757.224,76140.3,77654.8
77500,77500,77355,739.66,76615.4,78094.7
78000,78000,77800.1,747.662,77052.4,78547.7
78500,78500,78231.8,831.991,77399.8,79063.8
79000,79000,78716.9,823.049,77893.9,79540
79500,79500,79277.4,858.961,78418.4,80136.3
80000,80000,79821.9,838.795,78983.1,80660.7
80500,80500,80281.6,893.474,79388.1,81175.1
81000,81000,80783.6,907.317,79876.3,81690.9
81500,81500,81308.2,964.831,80343.3,82273
82000,82000,81857.1,964.15,80893,82821.3
82500,82500,82294.8,964.798,81330,83259.6
83000,83000,82686.7,919.659,81767,83606.3
83500,83500,83281.6,934.868,82346.7,84216.5
84000,84000,83748.1,1006.41,82741.7,84754.5
84500,84500,84272.3,1050.74,83221.5,85323
85000,85000,84800.6,1080.79,83719.8,85881.4
85500,85500,85295.5,1141.59,84153.9,86437.1
86000,86000,85762.6,1152.6,84610,86915.2
86500,86500,86280.6,1136.72,85143.9,87417.3
87000,87000,86802.7,1149.22,85653.5,87951.9
87500,87500,87346.2,1165.75,86180.5,88512
88000,88000,87843.3,1258.21,86585.1,89101.5
88500,88500,88298.4,1201.07,87097.3,89499.4
89000,89000,88837.9,1283.6,87554.3,90121.5
89500,89500,89306.6,1312.53,87994.1,90619.2
90000,90000,89790.5,1309.89,88480.6,91100.4
90500,90500,90275.1,1312.9,88962.2,91588
91000,91000,90729.4,1317.64,89411.7,92047
91500,91500,91223.8,1284.97,89938.8,92508.8
92000,92000,91728.5,1314.64,90413.8,93043.1
92500,92500,92160.4,1345.82,90814.6,93506.2
93000,93000,92611.8,1333.88,91277.9,93945.7
93500,93500,93108.6,1248.73,91859.9,94357.3
94000,94000,93556.5,1292.48,92264.1,94849
94500,94500,94111.8,1345.24,92766.5,95457
95000,95000,94589,1379.5,93209.5,95968.5
95500,95500,95181.2,1407.36,93773.9,96588.6
96000,96000,95612.1,1371.17,94240.9,96983.2
96500,96500,96126.2,1380.21,94746,97506.4
97000,97000,96619.8,1457.7,95162.1,98077.5
97500,97500,97163.5,1523.49,95640,98687
98000,98000,97741.8,1583.72,96158.1,99325.5
98500,98500,98276.3,1596.66,96679.7,99873
99000,99000,98778.4,1490.3,97288.1,100269
99500,99500,99309.6,1375,97934.6,100685
100000,100000,99878,1336.25,98541.7,101214
